ep,train_loss,eval_loss,plcc,srocc,time
1,94.56409814967105,111.8877346420288,0.8225542902946472,0.7243812233285917,5.89015371799469
2,49.03374198512027,107.43596448262532,0.5113953351974487,0.4931721194879089,11.779260381062825
3,39.960143330999,52.66583626747131,0.9026277661323547,0.8484779516358463,17.818971864382426
4,34.88586033978378,67.04844022115071,0.8895667791366577,0.8203698435277381,23.736491405963896
5,31.36863523971825,92.25448464930058,0.8356978297233582,0.7516642958748221,29.781124957402547
6,28.64192229753461,55.79532292683919,0.7997474670410156,0.7697012802275959,35.67333399057388
7,26.122011373794287,59.41022850036621,0.8988850712776184,0.8416216216216217,41.539447045326234
8,23.61525013625831,28.760900065104167,0.9457195997238159,0.9411379800853484,47.41117712656657
9,22.13718246427837,95.98051507949829,0.9175306558609009,0.8883641536273115,53.278176506360374
10,21.051245149311267,132.73663535992304,0.5324097871780396,0.482076813655761,59.14945381085078
11,20.265165256915175,48.55410649379095,0.8484750986099243,0.8077951635846371,65.02196097373962
12,19.647620637967293,21.59459316690763,0.9320855736732483,0.899601706970128,70.89489468336106
13,19.778379003210237,31.805068391164145,0.9297458529472351,0.9277667140825036,76.79210881789525
14,18.669565188491553,18.502193020979565,0.9426184892654419,0.917923186344239,82.66608461936315
15,18.63289658213833,21.065925643703473,0.9415484666824341,0.9033854907539118,88.56444980303446
16,17.669346625773112,26.293319427768388,0.9235966801643372,0.8961024182076812,94.4377643028895
17,17.977978703067176,16.876454388300576,0.9473791122436523,0.9260028449502133,100.31169127225876
18,17.52859082454213,24.95759356021881,0.9214008450508118,0.8446941678520625,106.20975889762242
19,17.113798779189796,21.582648911476134,0.9376270771026611,0.9207965860597438,112.08359800974527
20,17.29155962524414,30.357951893806458,0.9354332089424133,0.9060597439544807,117.9817775050799
21,16.724290764577766,15.921609529058138,0.9566852450370789,0.9471123755334281,123.85823128223419
22,16.640044665206105,20.346637194951374,0.9369492530822754,0.9234708392603129,129.75409115155537
23,16.92263484379283,22.74741098880768,0.9326931834220886,0.9318065433854906,135.6505538225174
24,16.511172825006852,20.84623966217041,0.9353129863739014,0.9061450924608818,141.54831847747167
25,15.982039043707596,26.216055024464925,0.9211647510528564,0.8324039829302987,147.42509834369022
26,12.778397108486242,13.547714244524638,0.9623875021934509,0.9454054054054053,153.32105683883032
27,12.130471592150236,11.855191583633422,0.966718316078186,0.9513513513513514,159.22076163689295
28,11.967205227366666,12.166719433466593,0.966634213924408,0.9520625889046941,165.09815172751743
29,11.747861719767252,12.46161965727806,0.9660434126853943,0.9490469416785207,170.97293805678686
30,11.667068614384165,12.794165461858114,0.9559800028800964,0.9346799431009958,176.84898841778437
31,11.52855217732212,13.252829103469848,0.9578902721405029,0.935448079658606,182.7488136569659
32,11.33515737647341,14.13129944006602,0.9505273699760437,0.9280512091038406,188.6474335471789
33,11.265346240046986,11.005481485128403,0.9589321613311768,0.9355618776671408,194.56486446460087
